HEB260,260,260,10,17.5,24,93,1.499,11844,3759,9100,149.2,112.2,1148,1283,51.35,65.8,395,602.2,1257,125.7,736280,47140
HEB280,280,280,10.5,18,24,103.1,1.618,13136,4109,10080,192.7,121.1,1376,1534,65.95,70.9,471,717.6,1453,138.4,1107200,60840
HEB300,300,300,11,19,27,117,1.732,14908,4743,11400,251.7,129.9,1678,1869,85.63,75.8,570.9,870.1,1874,170.4,1651000,79000
HEB320,320,300,11.5,20.5,27,126.7,1.771,16134,5177,12300,308.2,138.2,1926,2149,92.39,75.7,615.9,939.1,2292,199.3,2026200,90900
HEB340,340,300,12,21.5,27,134.2,1.81,17090,5609,12900,366.6,146.5,2156,2408,96.9,75.3,646,985.7,2620,218.3,2405600,101500
HEB360,360,300,12.5,22.5,27,141.8,1.849,18063,6060,13500,431.9,154.6,2400,2683,101.4,74.9,676.1,1032,2979,238.3,2829300,112600
HEB400,400,300,13.5,24,27,155.3,1.927,19778,6998,14400,576.8,170.8,2884,3232,108.2,74,721.3,1104,3611,267.5,3751100,133900
HEB450,450,300,14,26,27,171.1,2.026,21798,7966,15600,798.9,191.4,3551,3982,117.2,73.3,781.4,1198,4489,320.6,5177700,163800
HEB500,500,300,14.5,28,27,187.3,2.125,23864,8982,16800,1072,211.9,4287,4815,126.2,72.7,841.6,1292,5499,379.2,6920700,196600
HEB550,550,300,15,29,27,199.4,2.224,25406,10007,17400,1367,232,4971,5591,130.8,71.7,871.8,1341,6123,408.2,8743900,224900
HEB600,600,300,15.5,30,27,211.9,2.323,26996,11081,18000,1710,251.7,5701,6425,135.3,70.8,902,1391,6796,438.5,10838000,254700
HEB650,650,300,16,31,27,224.8,2.422,28634,12204,18600,2106,271.2,6480,7320,139.8,69.9,932.3,1441,7520,470,13219000,286000
HEB700,700,300,17,32,27,240.5,2.52,30638,13710,19200,2569,289.6,7340,8327,144.4,68.7,962.7,1495,8417,495.1,15900000,318700
HEB800,800,300,17.5,33,30,262.3,2.713,33418,16175,19800,3591,327.8,8977,10230,149,66.8,993.6,1553,9621,549.8,21617000,377500
HEB900,900,300,18.5,35,30,291.5,2.911,37128,18875,21000,4941,364.8,10980,12580,158.2,65.3,1054,1658,11540,623.8,29196000,451800
HEB1000,1000,300,19,36,30,314,3.11,40005,21249,21600,6447,401.5,12890,14860,162.8,63.8,1085,1716,12720,669.5,37340000,518300
